Datetime,Close
2021-11-02 09:30:00-04:00,15628.1025390625
2021-11-02 10:30:00-04:00,15637.3193359375
2021-11-02 11:30:00-04:00,15623.451171875
2021-11-02 12:30:00-04:00,15610.77734375
2021-11-02 13:30:00-04:00,15605.1015625
2021-11-02 14:30:00-04:00,15635.92578125
2021-11-02 15:30:00-04:00,15649.98046875
2021-11-03 09:30:00-04:00,15654.505859375
2021-11-03 10:30:00-04:00,15665.76953125
2021-11-03 11:30:00-04:00,15670.4560546875
2021-11-03 12:30:00-04:00,15665.2705078125
2021-11-03 13:30:00-04:00,15706.9951171875
2021-11-03 14:30:00-04:00,15784.9306640625
2021-11-03 15:30:00-04:00,15809.6484375
2021-11-04 09:30:00-04:00,15937.4658203125
2021-11-04 10:30:00-04:00,15868.55859375
2021-11-04 11:30:00-04:00,15911.5419921875
2021-11-04 12:30:00-04:00,15923.634765625
2021-11-04 13:30:00-04:00,15951.5791015625
2021-11-04 14:30:00-04:00,15933.9228515625
2021-11-04 15:30:00-04:00,15941.05078125
2021-11-05 09:30:00-04:00,16024.787109375
2021-11-05 10:30:00-04:00,16017.66015625
2021-11-05 11:30:00-04:00,16020.4697265625
2021-11-05 12:30:00-04:00,15903.53125
2021-11-05 13:30:00-04:00,15967.3759765625
2021-11-05 14:30:00-04:00,15956.4130859375
2021-11-05 15:30:00-04:00,15967.0224609375
2021-11-08 09:30:00-05:00,16002.4228515625
2021-11-08 10:30:00-05:00,16017.0283203125
2021-11-08 11:30:00-05:00,15984.7900390625
2021-11-08 12:30:00-05:00,16009.4580078125
2021-11-08 13:30:00-05:00,15990.7724609375
2021-11-08 14:30:00-05:00,16001.2431640625
2021-11-08 15:30:00-05:00,15981.328125
2021-11-09 09:30:00-05:00,15899.568359375
2021-11-09 10:30:00-05:00,15899.568359375
2021-11-09 11:30:00-05:00,15871.47265625
2021-11-09 12:30:00-05:00,15865.8369140625
2021-11-09 13:30:00-05:00,15880.1171875
2021-11-09 14:30:00-05:00,15867.3994140625
2021-11-09 15:30:00-05:00,15887.4130859375
