Datetime,Buy_Count,Sell_Count
2021-11-24 20:30:00+00:00,5,7
2021-11-26 14:30:00+00:00,8,11
2021-11-26 15:30:00+00:00,19,5
2021-11-26 16:30:00+00:00,15,6
2021-11-29 14:30:00+00:00,8,6
2021-11-29 15:30:00+00:00,8,8
2021-11-29 16:30:00+00:00,7,9
2021-11-29 17:30:00+00:00,5,9
2021-11-29 18:30:00+00:00,8,12
2021-11-29 19:30:00+00:00,9,13
2021-11-29 20:30:00+00:00,8,10
2021-11-30 14:30:00+00:00,16,8
2021-11-30 15:30:00+00:00,18,1
2021-11-30 16:30:00+00:00,26,1
2021-11-30 17:30:00+00:00,26,1
2021-11-30 18:30:00+00:00,12,3
2021-11-30 19:30:00+00:00,12,5
2021-11-30 20:30:00+00:00,22,4
2021-12-01 14:30:00+00:00,18,8
2021-12-01 15:30:00+00:00,17,10
2021-12-01 16:30:00+00:00,22,6
2021-12-01 17:30:00+00:00,27,2
2021-12-01 18:30:00+00:00,29,2
2021-12-01 19:30:00+00:00,47,0
2021-12-01 20:30:00+00:00,50,1
2021-12-02 14:30:00+00:00,27,0
2021-12-02 15:30:00+00:00,18,1
2021-12-02 16:30:00+00:00,11,1
2021-12-02 17:30:00+00:00,14,1
2021-12-02 18:30:00+00:00,11,1
2021-12-02 19:30:00+00:00,10,1
2021-12-02 20:30:00+00:00,12,1
2021-12-03 14:30:00+00:00,32,1
2021-12-03 15:30:00+00:00,39,1
2021-12-03 16:30:00+00:00,35,1
2021-12-03 17:30:00+00:00,30,1
2021-12-03 18:30:00+00:00,29,2
2021-12-03 19:30:00+00:00,25,4
2021-12-03 20:30:00+00:00,14,16
2021-12-06 14:30:00+00:00,17,16
2021-12-06 15:30:00+00:00,22,13
2021-12-06 16:30:00+00:00,22,11
2021-12-06 17:30:00+00:00,12,16
2021-12-06 18:30:00+00:00,15,11
2021-12-06 19:30:00+00:00,14,12
2021-12-06 20:30:00+00:00,15,11
2021-12-07 14:30:00+00:00,1,39
2021-12-07 15:30:00+00:00,1,54
2021-12-07 16:30:00+00:00,1,57
2021-12-07 17:30:00+00:00,1,58
2021-12-07 18:30:00+00:00,1,67
2021-12-07 19:30:00+00:00,1,62
2021-12-07 20:30:00+00:00,1,58
2021-12-08 14:30:00+00:00,3,41
2021-12-08 15:30:00+00:00,4,54
2021-12-08 16:30:00+00:00,4,53
2021-12-08 17:30:00+00:00,1,48
2021-12-08 18:30:00+00:00,1,42
2021-12-08 19:30:00+00:00,1,54
2021-12-08 20:30:00+00:00,1,60
2021-12-09 14:30:00+00:00,8,13
2021-12-09 15:30:00+00:00,9,14
2021-12-09 16:30:00+00:00,9,7
2021-12-09 17:30:00+00:00,9,5
2021-12-09 18:30:00+00:00,12,6
2021-12-09 19:30:00+00:00,10,3
2021-12-09 20:30:00+00:00,17,1
2021-12-10 14:30:00+00:00,10,9
2021-12-10 15:30:00+00:00,23,9
2021-12-10 16:30:00+00:00,21,10
2021-12-10 17:30:00+00:00,23,10
2021-12-10 18:30:00+00:00,23,10
2021-12-10 19:30:00+00:00,30,8
2021-12-10 20:30:00+00:00,28,10
2021-12-13 14:30:00+00:00,24,10
2021-12-13 15:30:00+00:00,32,8
2021-12-13 16:30:00+00:00,29,10
2021-12-13 17:30:00+00:00,25,9
2021-12-13 18:30:00+00:00,18,9
2021-12-13 19:30:00+00:00,13,18
2021-12-13 20:30:00+00:00,15,18
2021-12-14 14:30:00+00:00,34,3
2021-12-14 15:30:00+00:00,39,6
2021-12-14 16:30:00+00:00,43,3
2021-12-14 17:30:00+00:00,50,2
2021-12-14 18:30:00+00:00,44,5
2021-12-14 19:30:00+00:00,27,6
2021-12-14 20:30:00+00:00,38,5
2021-12-15 14:30:00+00:00,32,4
2021-12-15 15:30:00+00:00,30,4
2021-12-15 16:30:00+00:00,34,4
2021-12-15 17:30:00+00:00,31,2
2021-12-15 18:30:00+00:00,19,3
2021-12-15 19:30:00+00:00,2,8
2021-12-15 20:30:00+00:00,1,13
2021-12-16 14:30:00+00:00,2,24
2021-12-16 15:30:00+00:00,2,21
2021-12-16 16:30:00+00:00,4,18
2021-12-16 17:30:00+00:00,4,19
2021-12-16 18:30:00+00:00,5,15
2021-12-16 19:30:00+00:00,4,11
2021-12-16 20:30:00+00:00,4,13
2021-12-17 14:30:00+00:00,5,8
2021-12-17 15:30:00+00:00,4,17
2021-12-17 16:30:00+00:00,4,11
2021-12-17 17:30:00+00:00,3,15
2021-12-17 18:30:00+00:00,5,14
2021-12-17 19:30:00+00:00,19,5
2021-12-17 20:30:00+00:00,32,4
2021-12-20 14:30:00+00:00,46,4
2021-12-20 15:30:00+00:00,40,4
2021-12-20 16:30:00+00:00,29,4
2021-12-20 17:30:00+00:00,28,4
2021-12-20 18:30:00+00:00,22,5
2021-12-20 19:30:00+00:00,20,5
2021-12-20 20:30:00+00:00,14,4
2021-12-21 14:30:00+00:00,8,6
2021-12-21 15:30:00+00:00,15,6
2021-12-21 16:30:00+00:00,2,9
2021-12-21 17:30:00+00:00,5,6
2021-12-21 18:30:00+00:00,4,12
2021-12-21 19:30:00+00:00,3,15
2021-12-21 20:30:00+00:00,1,20
2021-12-22 14:30:00+00:00,1,45
2021-12-22 15:30:00+00:00,1,63
2021-12-22 16:30:00+00:00,1,63
2021-12-22 17:30:00+00:00,1,61
2021-12-22 18:30:00+00:00,1,56
2021-12-22 19:30:00+00:00,1,55
2021-12-22 20:30:00+00:00,2,62
2021-12-23 14:30:00+00:00,1,66
2021-12-23 15:30:00+00:00,1,61
2021-12-23 16:30:00+00:00,0,46
2021-12-23 17:30:00+00:00,1,47
2021-12-23 18:30:00+00:00,2,50
2021-12-23 19:30:00+00:00,1,47
2021-12-23 20:30:00+00:00,2,40
2021-12-27 14:30:00+00:00,3,59
2021-12-27 15:30:00+00:00,2,49
